AirQualityStation,UnitOfMeasurement,mean
STA.DE_DESL019,µg/m3,16.155179336628407
STA.DE_DEMV021,µg/m3,25.97203165106475
STA.DE_DEBY089,µg/m3,19.32846901474892
STA.DE_DEHE150,µg/m3,10.265410409328355
STA.DE_DENI066,µg/m3,25.367024746428573
STA.DE_DEBW084,µg/m3,15.562198064
STA.DE_DENW095,µg/m3,20.20307204273775
STA.DE_DEUB028,µg/m3,19.322944917666668
STA.DE_DEHB010,µg/m3,19.3
STA.DE_DEBW081,µg/m3,17.272946857333334
STA.DE_DEST066,µg/m3,20.872473992359712
STA.DE_DETH005,µg/m3,21.467304701681037
STA.DE_DENW181,µg/m3,24.079616955394737
STA.DE_DENW134,µg/m3,27.273204019525863
STA.DE_DENW114,µg/m3,20.93036993880058
STA.DE_DENW080,µg/m3,17.25764223795977
STA.DE_DENW079,µg/m3,14.941196528497109
STA.DE_DEST028,µg/m3,21.180886682735167
STA.DE_DEUB028,µg/m3,18.261244440474076
STA.DE_DEHH070,µg/m3,25.918411507323743
STA.DE_DENW038,µg/m3,22.636415427121666
STA.DE_DENW074,µg/m3,27.98494117262554
STA.DE_DENI031,µg/m3,18.870771101791902
STA.DE_DEHH033,µg/m3,26.500647311349784
STA.DE_DEBY009,µg/m3,16.493804878120518
STA.DE_DENW337,µg/m3,20.583531605689657
STA.DE_DENW006,µg/m3,15.210071634444445
STA.DE_DEHE013,µg/m3,19.097999998
STA.DE_DENW180,µg/m3,24.673333329666665
STA.DE_DEBW029,µg/m3,17.528985502666668
STA.DE_DEHE001,µg/m3,19.404378030502155
STA.DE_DEMV023,µg/m3,27.477338590444763
STA.DE_DESN091,µg/m3,23.529329301706948
STA.DE_DERP047,µg/m3,20.11666666583333
STA.DE_DENI048,µg/m3,22.838186202413794
STA.DE_DENW008,µg/m3,23.58666666266667
STA.DE_DERP010,µg/m3,23.364152436084424
STA.DE_DERP009,µg/m3,20.0370905466092
STA.DE_DENW067,µg/m3,24.533333328666668
STA.DE_DETH009,µg/m3,23.83257559942446
STA.DE_DERP011,µg/m3,18.273333332666667
STA.DE_DETH041,µg/m3,20.31010300676259
STA.DE_DEBY007,µg/m3,20.226113790402295
STA.DE_DEBB049,µg/m3,27.573888088134865
STA.DE_DEBE010,µg/m3,25.86469153177905
STA.DE_DESN074,µg/m3,18.16733332833333
STA.DE_DEHE041,µg/m3,22.64871983691535
STA.DE_DEHE052,µg/m3,11.600999999
STA.DE_DEHE052,µg/m3,12.525530665560472
STA.DE_DENI028,µg/m3,18.99750065350592
STA.DE_DEBY072,µg/m3,15.563801966901003
STA.DE_DERP041,µg/m3,23.033882146244604
STA.DE_DETH072,µg/m3,16.93951110810072
STA.DE_DEBB083,µg/m3,27.736441890086084
STA.DE_DERP007,µg/m3,17.951920052756133
STA.DE_DENW042,µg/m3,15.595528732284482
STA.DE_DEBB063,µg/m3,22.5025824928264
STA.DE_DEBW156,µg/m3,16.787037033666667
STA.DE_DEST102,µg/m3,34.97379030598279
STA.DE_DEST092,µg/m3,22.58951407545324
STA.DE_DEBY056,µg/m3,19.2341009807604
STA.DE_DEMV007,µg/m3,22.212399421681035
STA.DE_DERP017,µg/m3,11.198471862594936
STA.DE_DENI051,µg/m3,14.879774290864557
STA.DE_DEHE018,µg/m3,19.466844247972976
STA.DE_DENW212,µg/m3,20.29289669647059
STA.DE_DEBB029,µg/m3,24.486226682266857
STA.DE_DENW038,µg/m3,21.333333329333332
STA.DE_DEHE043,µg/m3,13.482976237695851
STA.DE_DEUB001,µg/m3,18.31262553400287
STA.DE_DETH011,µg/m3,20.876187296177328
STA.DE_DEBW147,µg/m3,25.08333333066667
STA.DE_DERP003,µg/m3,22.492465025560342
STA.DE_DEBE069,µg/m3,28.06393677803161
STA.DE_DENW133,µg/m3,28.15724533357245
STA.DE_DEBB054,µg/m3,24.77999999733333
STA.DE_DESN091,µg/m3,24.763666663
STA.DE_DENW260,µg/m3,22.93859397080345
STA.DE_DENW259,µg/m3,23.329528799926145
STA.DE_DENI077,µg/m3,15.146429759000002
STA.DE_DEMV004,µg/m3,24.50599137583333
STA.DE_DEBW087,µg/m3,14.327294681
STA.DE_DESN025,µg/m3,27.084299694563256
STA.DE_DERP021,µg/m3,19.19144835789322
STA.DE_DENW246,µg/m3,23.219999996
STA.DE_DEBB064,µg/m3,24.48507890605452
STA.DE_DEHE044,µg/m3,17.554982619827832
STA.DE_DEHB005,µg/m3,21.017159250688668
STA.DE_DEBY077,µg/m3,17.55906050685345
STA.DE_DEBY188,µg/m3,18.63600293939655
STA.DE_DERP015,µg/m3,13.055406531740411
STA.DE_DEHE024,µg/m3,15.243568895351506
STA.DE_DESN017,µg/m3,23.976333332000003
STA.DE_DENW040,µg/m3,18.955418701568345
STA.DE_DEMV012,µg/m3,22.55659540542324
STA.DE_DEBY088,µg/m3,19.045047481936876
STA.DE_DEBW087,µg/m3,16.207050356517986
STA.DE_DEBY063,µg/m3,23.15358427587644
STA.DE_DEHE042,µg/m3,17.108999997
STA.DE_DESL003,µg/m3,17.890530842826397
STA.DE_DETH026,µg/m3,14.603128327385056
STA.DE_DENW068,µg/m3,14.984259737647909
STA.DE_DESN077,µg/m3,29.235999995333334
STA.DE_DEBY039,µg/m3,19.00907694348637
STA.DE_DEBW046,µg/m3,21.95322811672884
STA.DE_DEBY121,µg/m3,19.139420452918586
STA.DE_DENI075,µg/m3,20.37273316189928
STA.DE_DESN084,µg/m3,23.048165175044645
STA.DE_DETH061,µg/m3,19.95332231807636
STA.DE_DENW207,µg/m3,26.05999999633333
STA.DE_DETH020,µg/m3,22.64481318444763
STA.DE_DEBW024,µg/m3,17.411231880666666
STA.DE_DENW329,µg/m3,25.60350071375897
STA.DE_DEBW080,µg/m3,18.555555552
